latitude,longitude,sand
26.43,87.2,25.95861
26.43,87.21000000000001,23.80239
26.43,87.22,22.449165
26.43,87.23,21.382336
26.43,87.24,20.526892
26.43,87.25,19.787022
26.43,87.26,19.84346
26.43,87.27,22.170326
26.43,87.28,22.121271
26.43,87.29,21.10243
26.43,87.3,21.09616
26.43,87.31,21.027626
26.43,87.32000000000001,23.795639
26.43,87.33,24.885914
26.43,87.34,24.45657
26.43,87.35000000000001,23.58092
26.43,87.36,23.79346
26.43,87.37,24.152212
26.43,87.38,24.680672
26.43,87.39,23.778086
26.43,87.4,24.476997
26.43,87.41,22.996073
26.43,87.42,23.245098
26.43,87.43,21.804897
26.43,87.44,22.581007
26.43,87.45,23.331875
26.43,87.46000000000001,28.100433
26.43,87.47,37.75856
26.43,87.48,41.025875
26.43,87.49,39.936123
26.43,87.5,44.88695
26.43,87.51,49.137913
26.43,87.52,49.701378
26.43,87.53,48.020298
26.43,87.54,41.237656
26.43,87.55,36.98989
26.43,87.56,36.18801
26.43,87.57000000000001,37.185295
26.43,87.58,36.728416
26.43,87.59,37.016434
26.43,87.60000000000001,39.511944
26.43,87.61,37.373795
26.43,87.62,37.1591
26.43,87.63,37.333366
26.43,87.64,41.02349
26.43,87.65,35.90192
26.43,87.66,36.23466
26.43,87.67,37.40627
26.43,87.68,31.007723
26.43,87.69,25.5199
26.43,87.7,25.948006
26.43,87.71000000000001,24.609737
26.43,87.72,24.624166
26.43,87.73,28.037888
26.43,87.74,27.336971
26.43,87.75,25.884775
26.43,87.76,25.662647
26.43,87.77,29.576979
26.43,87.83,30.501678
26.43,87.84,34.65944
26.43,87.91,36.80644
26.43,87.92,33.233078
26.43,87.93,35.299824
26.43,87.94,35.16009
26.43,87.95,35.771633
26.43,87.96000000000001,36.05269
26.43,87.97,35.13398
26.43,87.98,34.617714
26.43,87.99,34.740093
26.43,88.0,34.71643
26.43,88.01,35.4943
26.43,88.02,36.11122
26.43,88.03,36.980824
26.43,88.04,37.262676
26.43,88.05,38.056126
26.43,88.06,38.852844
26.43,88.07000000000001,39.50815
26.43,88.08,39.522297
26.43,88.09,39.20041
26.44,86.69,45.16065
26.44,86.7,45.40138
26.44,86.71000000000001,45.14783
26.44,86.72,46.389362
26.44,86.73,46.175922
26.44,86.74,46.382153
